"name","gender"
"LARSSON Staffan","Men"
"FERRER David","Men"
"FREIMUTH Thomas","Men"
"JEVNE Erling","Men"
"VERDENIUS Jan Jacob","Men"
"PROKOUROROV Alexei","Men"
"OLSEN Tore","Men"
"WEAVER Patrick","Men"
"GOERANSSON Morgan","Men"
"HANDLER Marten","Men"
"KARLSSON Andreas","Men"
"KUHNO Jari","Men"
"IJAES Aki","Men"
"MUEHLEGG Johann","Men"
"BLASSNIG Alois","Men"
"WALCHER Achim","Men"
"ZAROVNYI Alexandr","Men"
"SUMANN Christoph","Men"
"SCHLICKENRIEDER Peter","Men"
"GRIMM Dirk","Men"
"HOFFMANN Michael","Men"
"SEMENIAKO Nikolai","Men"
"JONSSON Niklas","Men"
"NEVZOROV Andrei","Men"
"SANNIKOV Alexander","Men"
"ZUNZUNEGUI Haritz","Men"
"NEUBER Janko","Men"
"TREGOBOV Alexij","Men"
"LINDGREN Urban","Men"
"GOSTIAEV Konstantin","Men"
"RIABININE Pavel","Men"
"NASH Marcus","Men"
"STOLZ Christian","Men"
"LIENERT Arne","Men"
"DESCHENAUX Olivier","Men"
"SCHWIENBACHER Reinhold","Men"
"PANAVAS Ricardas","Men"
"SPANUTH Ron","Men"
"KRISTIANSEN Egil","Men"
"MURSU Esa","Men"
"FARLEY Donald","Men"
"GOERANSSON Peter","Men"
"SOERGAARD Krister","Men"
"BRATBERG Halgeir","Men"
"KIRVESNIEMI Harri","Men"
"DENOTH Mario","Men"
"JAKOUBEK Tomas","Men"
"WHITNEY Robert","Men"
"GILBERTSON Marc","Men"
"VILLENEUVE Philippe","Men"
"STEVENS Shane","Men"
"LOOMIS Scott","Men"
"SCHULTZ Nathan","Men"
"MCART Scott","Men"
"SMITH Cory","Men"
"KLEIN Chris","Men"
"BROGGINI Pietro","Men"
"VORDENBERG Pete","Men"
"RAZNITSYN Vitali","Men"
"JOHANSSON Daniel","Men"
"SCHOCHER Christian","Men"
"MYLLYLAE Mika","Men"
"HUSER Eugen","Men"
"BURCKHARDT Christoph","Men"
"PILLER Sergio","Men"
"KAVALAR Jose","Men"
"PARICKA Andrej","Men"
"GANDLER Markus","Men"
"JERMSTAD Frode","Men"
"GIACOMEL Fabio","Men"
"REMY Patrick","Men"
"MARGUET Gilles","Men"
"GAILLARD Lilian","Men"
"KNUDSEN Jes","Men"
"ROMANENS Daniel","Men"
"WENGER Sven","Men"
"PITCHOUGUINE Maxim","Men"
"REIN Torald","Men"
"MUERNER Thomas","Men"
"ZURBRUEGG Rolf","Men"
"GODIOZ Gaudenzio","Men"
"DAEHLIE Bjoern","Men"
"BERGSTROEM Anders","Men"
"RIBO Jordi","Men"
"JOHANSEN Haakon Loe","Men"
"FORSBERG Henrik","Men"
"SIVERTSEN Sture","Men"
"BAUER John","Men"
"JACOBSSON Nicklas","Men"
"ALM Juha","Men"
"STADLOBER Alois","Men"
"KORUNKA Vaclav","Men"
"BINZER Michael","Men"
"WATANABE Hirofumi","Men"
"PARMENTIER Pascal","Men"
"KALOFYRIS Nikos","Men"
"JEZIK Stanislav","Men"
"HERMANIS Janis","Men"
"MAJBAECK Christer","Men"
"REIN Marek","Men"
"PETRASEK Martin","Men"
"KUUSISTO Mika","Men"
"BUCHTA Lubos","Men"
"KALLA Charlotte","Women"
"KOWALCZYK Justyna","Women"
"KHAZOVA Irina","Women"
"SHEVCHENKO Valentina","Women"
"HAAG Anna","Women"
"RUPIL Silvia","Women"
"KUENZEL-NYSTAD Claudia","Women"
"VALBUSA Sabina","Women"
"FOLLIS Arianna","Women"
"LONGA Marianna","Women"
"MALAKHOVA-SHISHKINA Svetlana","Women"
"MAJDIC Petra","Women"
"GREGG Caitlin","Women"
"LAURENT PHILIPPOT Karine","Women"
"SACHENBACHER-STEHLE Evi","Women"
"MEDVEDEVA-ABRUZOVA Evgenia","Women"
"CONFORTOLA Antonella","Women"
"ZELLER Katrin","Women"
"KOLOMINA Elena","Women"
"BOURGEOIS Celia","Women"
"BUCHER Silvana","Women"
"ARRITOLA Morgan","Women"
"BROOKS Holly","Women"
"RENNER Sara","Women"
"MAREK Kornelia","Women"
"JATSKAJA Oxana","Women"
"FESSEL Nicole","Women"
